Time,Setpoint,Winch Distance,Wall Distance,Winch Action,Side Action
541569,20.81787,40.54485,27.54734,1023,0
541677,20.81787,42.506104,27.338962,1023,0
541785,20.81787,41.17573,27.27773,1023,0
541893,20.81787,41.21501,27.032336,1023,0
542000,20.81787,42.231216,27.115824,465,0
542108,20.81787,41.27884,27.217704,1023,0
542216,20.81787,42.27172,27.260056,1023,0
542324,20.81787,41.29909,27.530372,1023,0
542432,20.81787,41.147828,27.674122,1023,0
542540,20.81787,40.737144,27.797542,1023,0
542647,20.81787,39.94761,27.893616,675,0
542755,20.81787,40.936004,27.761242,907,0
542863,20.81787,41.08656,27.935604,886,0
542972,20.81787,41.08656,28.23756,1023,0
543080,20.81787,39.546716,28.22531,907,0
543188,20.81787,40.383324,28.262138,1012,0
543295,20.81787,39.994064,28.460966,1023,0
543403,20.81787,39.919712,28.775156,1023,0
543512,20.81787,39.919712,28.76043,886,0
543620,20.81787,41.033736,28.54688,769,0
543728,20.81787,41.015152,28.86966,1023,0
543836,20.81787,41.126132,29.297372,1023,0
543945,20.81787,41.126132,29.528412,1023,0
544053,20.81787,41.126132,28.982418,1023,0
544161,20.81787,38.638668,28.520418,1023,0
544272,20.81787,37.51521,28.753336,1023,0
544380,20.81787,38.448328,29.041616,1023,0
544488,20.81787,39.03516,29.177166,1023,0
544596,20.81787,39.216892,29.055936,1023,0
544704,20.81787,40.45896,28.780544,1023,0
544812,20.81787,39.24151,28.81467,1023,0
544920,20.81787,41.05546,28.599776,1023,0
545027,20.81787,38.611924,28.75006,1023,0
545135,20.81787,40.73208,28.584652,907,0
545243,20.81787,38.321364,28.742496,1023,0
545352,20.81787,38.321364,28.855786,1010,0
545461,20.81787,38.321364,31.695934,1010,0
545569,20.81787,35.552436,30.272366,768,0
545676,20.81787,36.547696,29.637902,862,0
545784,20.81787,37.500652,30.042318,584,0
545893,20.81787,37.500652,30.115662,513,0
546000,20.81787,37.41012,29.697006,445,0
546108,20.81787,34.315024,29.066716,723,0
546215,20.81787,34.863696,28.65707,745,0
546322,20.81787,32.78408,28.32338,886,0
546430,20.81787,31.615408,27.924576,608,0
546537,20.81787,34.699456,27.750948,883,0
546645,20.81787,35.657288,27.681316,816,0
546752,20.81787,32.39909,27.594954,608,0
546859,20.81787,32.21329,27.6205,792,0
546967,20.81787,31.06369,27.43568,470,0
547075,20.81787,31.06369,27.49791,400,0
547182,20.81787,31.141812,27.322838,469,0
547291,20.81787,31.141812,27.432896,445,0
547398,20.81787,30.270218,27.84016,652,0
547505,20.81787,29.696964,27.62283,400,0
547612,20.81787,28.834736,27.763306,400,0
547720,20.81787,29.11668,27.81636,422,0
547829,20.81787,29.11668,28.03189,445,0
547938,20.81787,29.11668,28.131066,469,0
548045,20.81787,28.690644,28.197834,445,0
548152,20.81787,27.463878,27.99926,422,0
548259,20.81787,28.302388,27.917156,537,0
548366,20.81787,28.584182,27.669918,400,0
548473,20.81787,27.99484,27.494752,422,0
548580,20.81787,27.107386,27.424352,1023,0
548687,20.81787,27.265034,27.423516,400,0
548794,20.81787,27.189216,27.577736,400,0
548901,20.81787,26.859212,27.629074,400,0
549009,20.81787,28.403834,27.216598,400,0
549115,20.81787,26.444184,27.233728,422,0
549222,20.81787,26.632744,27.233704,445,0
549330,20.81787,28.402282,27.439876,400,0
549436,20.81787,26.589458,27.353958,469,0
549545,20.81787,26.589458,27.319592,400,0
549652,20.81787,25.54559,27.259452,400,0
549759,20.81787,25.736714,27.478524,400,0
549865,20.81787,24.535022,27.424828,400,0
549972,20.81787,25.093972,27.346436,400,0
550079,20.81787,24.505748,27.31583,400,0
550186,20.81787,23.91095,27.523896,400,0
550295,20.81787,23.91095,27.64511,400,0
550402,20.81787,24.060286,27.508122,400,0
550508,20.81787,22.932206,27.439628,400,0
550615,20.81787,22.050294,27.371018,469,0
550722,20.81787,21.60934,27.310938,422,0
550828,20.81787,21.070994,27.530038,400,0
550935,20.81787,21.274328,27.424812,400,0
551042,20.81787,21.375996,27.346428,400,0
551148,20.81787,22.053978,27.315826,400,0
551255,20.81787,22.392968,27.334888,400,0
551362,20.81787,22.107136,27.559196,400,0
551469,20.81787,21.7924,27.439392,400,0
551575,20.81787,21.635032,27.38808,400,0
551682,20.81787,21.728168,27.56002,400,0
551789,20.81787,21.130408,27.414032,400,0
551895,20.81787,21.372764,27.143442,400,0
552002,20.81787,22.069544,27.240104,400,0
552109,20.81787,22.400752,27.494622,0,0

