Time,Setpoint,Winch Distance,Wall Distance,Winch Action,Side Action
805734,18.824742,27.115158,26.086376,1023,0
805840,18.824742,26.2294,26.067242,1023,0
805947,18.824742,26.379304,26.58173,1023,0
806054,18.824742,25.861474,26.7187,1023,0
806161,18.824742,27.209088,26.25454,1023,0
806268,18.824742,25.408668,26.005276,1023,0
806375,18.824742,24.8091452,25.93219,1023,0
806482,18.824742,24.64684,25.818328,1023,0
806589,18.824742,24.64684,25.804354,1023,0
806696,18.824742,26.885274,25.934822,1023,0
806803,18.824742,26.552602,25.828236,1023,0
806910,18.824742,27.116508,25.75776,1023,0
807017,18.824742,25.791932,25.8771616,1023,0
807124,18.824742,25.877064,25.283942,1023,0
807230,18.824742,24.751248,25.236474,1023,0
807337,18.824742,23.896242,25.178376,1023,0
807444,18.824742,25.058086,25.312556,1023,0
807551,18.824742,25.492962,24.907136,1023,0
807661,18.824742,24.696652,24.953568,1023,0
807768,18.824742,25.75898,24.933828,1023,0
807875,18.824742,27.707668,24.614682,668,0
807982,18.824742,24.919126,24.223148,1023,0
808088,18.824742,23.825542,24.078928,1023,0
808195,18.824742,22.986654,24.015408,1023,0
808301,18.824742,22.077518,23.949284,1023,0
808408,18.824742,21.794774,23.881858,1023,0
808514,18.824742,21.16371,23.882512,886,0
808620,18.824742,20.367076,24.1062052,1023,0
808727,18.824742,20.131992,23.96891,886,0
808833,18.824742,19.687988,23.917444,1023,0
808940,18.824742,19.629218,23.900302,1023,0
809046,18.824742,19.75447,23.840188,1023,0
809152,18.824742,20.461428,23.973358,1023,0
809259,18.824742,19.698066,23.816576,1023,0
809259,None,19.698066,24.82066,1023,1
809366,None,22.08271,23.973904,1023,1
809471,None,21.144448,23.696574,1023,1
809577,None,20.030986,23.755502,1023,1
809683,None,20.118586,23.836514,841,1
809789,None,20.162384,23.868428,769,1
809895,None,19.703186,24.09057,1023,1
810001,None,19.954686,23.823636,1023,1
810106,None,20.080434,23.398072,1023,1
810212,None,19.65362,23.107972,1023,1
810318,None,19.929902,23.246426,1023,1
810424,None,20.068042,23.37579,1023,1
810530,None,19.492784,23.096828,1023,1
810635,None,19.205154,22.8113,1023,1
810741,None,19.70567,22.93486,1023,1
810847,None,19.474826,22.91932,908,1
810953,None,19.840506,22.7912752,860,1
811059,None,20.023346,22.856118,934,1
811164,None,20.123356,22.8971316,908,1
811270,None,20.16477,23.080868,747,1
811376,None,20.185478,22.79473,886,1
811482,None,19.551502,22.797708,723,1
811588,None,19.243104,24.345588,745,1
811693,None,19.724644,23.521592,723,1
811799,None,20.618336,23.126774,563,1
811905,None,20.40367,23.092596,676,1
812011,None,20.304928,23.195782,862,1
812117,None,20.264148,24.48449,886,1
812224,None,20.24376,24.48449,723,1
812331,None,19.580642,24.48449,515,1
812439,None,19.893414,24.48449,469,1
812547,None,20.0755732,41.907192,793,1
812655,None,20.149472,41.907192,678,1
812763,None,20.177828,41.907192,656,1
812871,None,20.844928,51.365968,747,1
812979,None,20.044456,56.121128,517,1
813087,None,20.133912,58.90249,402,1
813195,None,20.170048,60.301756,400,1
813303,None,20.188116,59.85878,448,1
813411,None,20.197152,56.484376,400,1
813519,None,20.193078,58.9810168,585,1
813627,None,19.555302,59.387412,609,1
813734,None,20.533664,55.759,0,1

